United States,Feb 10 2022,166260,190401,0
United States,Feb  9 2022,202030,215364,0
United States,Feb  8 2022,191990,230686,0
United States,Feb  7 2022,320744,244479,10500
United States,Feb  6 2022,87824,287212,0
United States,Feb  5 2022,88592,294316,0
United States,Feb  4 2022,275369,309347,13581
United States,Feb  3 2022,341000,344320,0
United States,Feb  2 2022,309283,376878,0
United States,Feb  1 2022,288542,413739,136
United States,Jan 31 2022,619874,444141,0
United States,Jan 30 2022,137556,507001,0
United States,Jan 29 2022,193808,528979,0
United States,Jan 28 2022,520179,544051,0
United States,Jan 27 2022,568909,579900,0
United States,Jan 26 2022,567309,608462,0
United States,Jan 25 2022,501353,638741,0
United States,Jan 24 2022,1059893,698090,0
United States,Jan 23 2022,291404,685234,0
United States,Jan 22 2022,299311,699478,0
United States,Jan 21 2022,771122,718767,0
United States,Jan 20 2022,768842,728908,0
United States,Jan 19 2022,779263,747114,0
United States,Jan 18 2022,916799,758771,0
United States,Jan 17 2022,969903,744473,0
United States,Jan 16 2022,391106,796679,0
United States,Jan 15 2022,434339,806175,0
United States,Jan 14 2022,842108,803087,46571
United States,Jan 13 2022,896281,803966,0
United States,Jan 12 2022,860866,789655,0
United States,Jan 11 2022,816711,768475,0
United States,Jan 10 2022,1335345,756523,0
United States,Jan  9 2022,457577,702193,0
United States,Jan  8 2022,412722,693968,0
United States,Jan  7 2022,848263,674819,0
United States,Jan  6 2022,796105,618460,0
United States,Jan  5 2022,712603,590007,0
United States,Jan  4 2022,733052,557773,0
United States,Jan  3 2022,955034,510492,0
United States,Jan  2 2022,399998,444107,1
United States,Jan  1 2022,278682,416577,0
United States,Dec 31 2021,453747,393757,0
United States,Dec 30 2021,596939,362301,0
United States,Dec 29 2021,486961,316900,0
United States,Dec 28 2021,402083,282007,0
United States,Dec 27 2021,490343,254491,0
United States,Dec 26 2021,207288,223527,0
United States,Dec 25 2021,118942,208305,0
United States,Dec 24 2021,233553,203308,0
United States,Dec 23 2021,279130,192978,621
United States,Dec 22 2021,242715,176208,0
United States,Dec 21 2021,209471,162526,0
United States,Dec 20 2021,273596,150507,0
United States,Dec 19 2021,100730,139015,0
United States,Dec 18 2021,83963,132513,0
United States,Dec 17 2021,161243,129118,0
United States,Dec 16 2021,161743,125281,1347
United States,Dec 15 2021,146940,121962,840
United States,Dec 14 2021,125339,119589,1725
United States,Dec 13 2021,193147,119743,0
United States,Dec 12 2021,55217,119464,0
United States,Dec 11 2021,60199,119022,0
United States,Dec 10 2021,134383,119319,0
United States,Dec  9 2021,138515,121714,0
United States,Dec  8 2021,130326,122442,0
United States,Dec  7 2021,126417,122792,0
